dateTime,close
2018-03-19 00-00-00,556.88000000
2018-03-20 00-00-00,557.00000000
2018-03-21 00-00-00,559.17000000
2018-03-22 00-00-00,539.92000000
2018-03-23 00-00-00,543.03000000
2018-03-24 00-00-00,520.22000000
2018-03-25 00-00-00,523.74000000
2018-03-26 00-00-00,485.00000000
2018-03-27 00-00-00,448.50000000
2018-03-28 00-00-00,446.67000000
2018-03-29 00-00-00,384.00000000
2018-03-30 00-00-00,392.43000000
2018-03-31 00-00-00,393.92000000
2018-04-01 00-00-00,378.58000000
2018-04-02 00-00-00,385.05000000
2018-04-03 00-00-00,415.01000000
2018-04-04 00-00-00,378.16000000
2018-04-05 00-00-00,381.22000000
2018-04-06 00-00-00,368.89000000
2018-04-07 00-00-00,384.51000000
2018-04-08 00-00-00,400.40000000
2018-04-09 00-00-00,399.44000000
2018-04-10 00-00-00,416.07000000
2018-04-11 00-00-00,429.52000000
2018-04-12 00-00-00,495.67000000
2018-04-13 00-00-00,495.11000000
2018-04-14 00-00-00,502.68000000
2018-04-15 00-00-00,533.88000000
2018-04-16 00-00-00,511.46000000
2018-04-17 00-00-00,502.56000000
2018-04-18 00-00-00,526.09000000
2018-04-19 00-00-00,568.14000000
2018-04-20 00-00-00,617.09000000
2018-04-21 00-00-00,604.87000000
2018-04-22 00-00-00,620.92000000
2018-04-23 00-00-00,645.09000000
2018-04-24 00-00-00,701.58000000
2018-04-25 00-00-00,618.00000000
2018-04-26 00-00-00,661.51000000
2018-04-27 00-00-00,643.46000000
2018-04-28 00-00-00,682.86000000
2018-04-29 00-00-00,690.85000000
2018-04-30 00-00-00,670.78000000
2018-05-01 00-00-00,672.00000000
2018-05-02 00-00-00,688.56000000
2018-05-03 00-00-00,779.00000000
2018-05-04 00-00-00,785.99000000
2018-05-05 00-00-00,819.50000000
2018-05-06 00-00-00,794.30000000
2018-05-07 00-00-00,752.49000000
2018-05-08 00-00-00,748.99000000
2018-05-09 00-00-00,751.75000000
2018-05-10 00-00-00,722.52000000
2018-05-11 00-00-00,676.96000000
2018-05-12 00-00-00,684.11000000
2018-05-13 00-00-00,729.08000000
2018-05-14 00-00-00,727.49000000
2018-05-15 00-00-00,704.91000000
2018-05-16 00-00-00,706.29000000
2018-05-17 00-00-00,667.62000000
2018-05-18 00-00-00,692.60000000
2018-05-19 00-00-00,697.00000000
2018-05-20 00-00-00,716.16000000
2018-05-21 00-00-00,696.70000000
2018-05-22 00-00-00,640.99000000
2018-05-23 00-00-00,577.19000000
2018-05-24 00-00-00,602.18000000
2018-05-25 00-00-00,585.55000000
2018-05-26 00-00-00,586.00000000
2018-05-27 00-00-00,570.40000000
2018-05-28 00-00-00,511.50000000
2018-05-29 00-00-00,567.36000000
2018-05-30 00-00-00,557.19000000
2018-05-31 00-00-00,577.81000000
2018-06-01 00-00-00,579.00000000
2018-06-02 00-00-00,590.85000000
2018-06-03 00-00-00,619.66000000
2018-06-04 00-00-00,591.02000000
2018-06-05 00-00-00,609.05000000
2018-06-06 00-00-00,607.40000000
2018-06-07 00-00-00,605.16000000
2018-06-08 00-00-00,598.68000000
2018-06-09 00-00-00,592.87000000
2018-06-10 00-00-00,524.11000000
2018-06-11 00-00-00,531.69000000
2018-06-12 00-00-00,493.00000000
2018-06-13 00-00-00,475.47000000
2018-06-14 00-00-00,519.29000000
2018-06-15 00-00-00,487.48000000
2018-06-16 00-00-00,496.74000000
2018-06-17 00-00-00,497.14000000
2018-06-18 00-00-00,517.95000000
2018-06-19 00-00-00,537.97000000
2018-06-20 00-00-00,536.49000000
2018-06-21 00-00-00,526.18000000
2018-06-22 00-00-00,462.09000000
2018-06-23 00-00-00,473.41000000
2018-06-24 00-00-00,454.41000000
2018-06-25 00-00-00,458.70000000
2018-06-26 00-00-00,429.34000000
2018-06-27 00-00-00,441.64000000
2018-06-28 00-00-00,420.22000000
2018-06-29 00-00-00,434.77000000
2018-06-30 00-00-00,454.09000000
2018-07-01 00-00-00,452.10000000
2018-07-02 00-00-00,476.25000000
2018-07-03 00-00-00,461.82000000
2018-07-04 00-00-00,467.38000000
2018-07-05 00-00-00,467.87000000
2018-07-06 00-00-00,470.47000000
2018-07-07 00-00-00,485.57000000
2018-07-08 00-00-00,486.77000000
2018-07-09 00-00-00,471.71000000
2018-07-10 00-00-00,432.48000000
2018-07-11 00-00-00,444.99000000
2018-07-12 00-00-00,431.14000000
2018-07-13 00-00-00,432.46000000
2018-07-14 00-00-00,433.19000000
2018-07-15 00-00-00,449.78000000
2018-07-16 00-00-00,478.49000000
2018-07-17 00-00-00,498.76000000
2018-07-18 00-00-00,479.41000000
2018-07-19 00-00-00,468.57000000
2018-07-20 00-00-00,449.04000000
2018-07-21 00-00-00,460.23000000
2018-07-22 00-00-00,457.47000000
2018-07-23 00-00-00,450.05000000
2018-07-24 00-00-00,479.28000000
2018-07-25 00-00-00,472.10000000
2018-07-26 00-00-00,462.64000000
2018-07-27 00-00-00,470.09000000
2018-07-28 00-00-00,469.29000000
2018-07-29 00-00-00,466.40000000
2018-07-30 00-00-00,456.23000000
2018-07-31 00-00-00,432.22000000
2018-08-01 00-00-00,420.41000000
2018-08-02 00-00-00,410.62000000
2018-08-03 00-00-00,417.52000000
2018-08-04 00-00-00,407.21000000
2018-08-05 00-00-00,408.79000000
2018-08-06 00-00-00,405.28000000
2018-08-07 00-00-00,378.21000000
2018-08-08 00-00-00,355.48000000
2018-08-09 00-00-00,363.30000000
2018-08-10 00-00-00,331.81000000
2018-08-11 00-00-00,317.69000000
2018-08-12 00-00-00,317.89000000
2018-08-13 00-00-00,283.81000000
2018-08-14 00-00-00,278.41000000
2018-08-15 00-00-00,281.12000000
2018-08-16 00-00-00,287.17000000
2018-08-17 00-00-00,317.51000000
2018-08-18 00-00-00,294.11000000
2018-08-19 00-00-00,299.42000000
2018-08-20 00-00-00,270.51000000
2018-08-21 00-00-00,281.21000000
2018-08-22 00-00-00,270.80000000
2018-08-23 00-00-00,275.99000000
2018-08-24 00-00-00,281.19000000
2018-08-25 00-00-00,277.55000000
2018-08-26 00-00-00,274.29000000
