dateTime,close
2018-04-02 00-00-00,7056.00000000
2018-04-03 00-00-00,7405.21000000
2018-04-04 00-00-00,6796.10000000
2018-04-05 00-00-00,6770.76000000
2018-04-06 00-00-00,6601.39000000
2018-04-07 00-00-00,6895.80000000
2018-04-08 00-00-00,7018.00000000
2018-04-09 00-00-00,6782.72000000
2018-04-10 00-00-00,6843.90000000
2018-04-11 00-00-00,6953.79000000
2018-04-12 00-00-00,7923.00000000
2018-04-13 00-00-00,7877.41000000
2018-04-14 00-00-00,7999.01000000
2018-04-15 00-00-00,8355.00000000
2018-04-16 00-00-00,8064.92000000
2018-04-17 00-00-00,7885.02000000
2018-04-18 00-00-00,8173.00000000
2018-04-19 00-00-00,8278.00000000
2018-04-20 00-00-00,8856.98000000
2018-04-21 00-00-00,8915.31000000
2018-04-22 00-00-00,8787.02000000
2018-04-23 00-00-00,8934.01000000
2018-04-24 00-00-00,9619.99000000
2018-04-25 00-00-00,8869.99000000
2018-04-26 00-00-00,9266.00000000
2018-04-27 00-00-00,8915.35000000
2018-04-28 00-00-00,9348.00000000
2018-04-29 00-00-00,9419.00000000
2018-04-30 00-00-00,9246.01000000
2018-05-01 00-00-00,9071.48000000
2018-05-02 00-00-00,9247.84000000
2018-05-03 00-00-00,9750.00000000
2018-05-04 00-00-00,9713.99000000
2018-05-05 00-00-00,9864.00000000
2018-05-06 00-00-00,9659.01000000
2018-05-07 00-00-00,9365.00000000
2018-05-08 00-00-00,9187.56000000
2018-05-09 00-00-00,9310.00000000
2018-05-10 00-00-00,9002.20000000
2018-05-11 00-00-00,8400.00000000
2018-05-12 00-00-00,8465.94000000
2018-05-13 00-00-00,8679.71000000
2018-05-14 00-00-00,8663.34000000
2018-05-15 00-00-00,8462.00000000
2018-05-16 00-00-00,8330.00000000
2018-05-17 00-00-00,8041.46000000
2018-05-18 00-00-00,8239.81000000
2018-05-19 00-00-00,8233.49000000
2018-05-20 00-00-00,8526.98000000
2018-05-21 00-00-00,8381.24000000
2018-05-22 00-00-00,7977.11000000
2018-05-23 00-00-00,7501.95000000
2018-05-24 00-00-00,7575.01000000
2018-05-25 00-00-00,7457.00000000
2018-05-26 00-00-00,7333.96000000
2018-05-27 00-00-00,7338.99000000
2018-05-28 00-00-00,7099.00000000
2018-05-29 00-00-00,7461.29000000
2018-05-30 00-00-00,7375.96000000
2018-05-31 00-00-00,7485.01000000
2018-06-01 00-00-00,7521.01000000
2018-06-02 00-00-00,7640.03000000
2018-06-03 00-00-00,7714.26000000
2018-06-04 00-00-00,7487.00000000
2018-06-05 00-00-00,7625.00000000
2018-06-06 00-00-00,7658.84000000
2018-06-07 00-00-00,7691.08000000
2018-06-08 00-00-00,7603.44000000
2018-06-09 00-00-00,7491.73000000
2018-06-10 00-00-00,6764.99000000
2018-06-11 00-00-00,6872.00000000
2018-06-12 00-00-00,6530.00000000
2018-06-13 00-00-00,6292.78000000
2018-06-14 00-00-00,6635.98000000
2018-06-15 00-00-00,6388.90000000
2018-06-16 00-00-00,6483.98000000
2018-06-17 00-00-00,6449.61000000
2018-06-18 00-00-00,6712.46000000
2018-06-19 00-00-00,6741.21000000
2018-06-20 00-00-00,6761.51000000
2018-06-21 00-00-00,6718.84000000
2018-06-22 00-00-00,6045.00000000
2018-06-23 00-00-00,6149.98000000
2018-06-24 00-00-00,6136.97000000
2018-06-25 00-00-00,6252.00000000
2018-06-26 00-00-00,6070.78000000
2018-06-27 00-00-00,6133.73000000
2018-06-28 00-00-00,5853.98000000
2018-06-29 00-00-00,6197.92000000
2018-06-30 00-00-00,6390.07000000
2018-07-01 00-00-00,6356.81000000
2018-07-02 00-00-00,6615.29000000
2018-07-03 00-00-00,6513.86000000
2018-07-04 00-00-00,6586.98000000
2018-07-05 00-00-00,6529.20000000
2018-07-06 00-00-00,6609.78000000
2018-07-07 00-00-00,6756.98000000
2018-07-08 00-00-00,6712.10000000
2018-07-09 00-00-00,6662.12000000
2018-07-10 00-00-00,6296.91000000
2018-07-11 00-00-00,6378.07000000
2018-07-12 00-00-00,6250.57000000
2018-07-13 00-00-00,6214.57000000
2018-07-14 00-00-00,6251.99000000
2018-07-15 00-00-00,6353.01000000
2018-07-16 00-00-00,6723.35000000
2018-07-17 00-00-00,7317.44000000
2018-07-18 00-00-00,7381.90000000
2018-07-19 00-00-00,7466.21000000
2018-07-20 00-00-00,7337.53000000
2018-07-21 00-00-00,7398.78000000
2018-07-22 00-00-00,7394.79000000
2018-07-23 00-00-00,7721.01000000
2018-07-24 00-00-00,8397.24000000
2018-07-25 00-00-00,8175.64000000
2018-07-26 00-00-00,7920.00000000
2018-07-27 00-00-00,8188.57000000
2018-07-28 00-00-00,8225.04000000
2018-07-29 00-00-00,8211.00000000
2018-07-30 00-00-00,8173.92000000
2018-07-31 00-00-00,7730.93000000
2018-08-01 00-00-00,7604.58000000
2018-08-02 00-00-00,7525.71000000
2018-08-03 00-00-00,7418.78000000
2018-08-04 00-00-00,7009.84000000
2018-08-05 00-00-00,7024.19000000
2018-08-06 00-00-00,6934.82000000
2018-08-07 00-00-00,6720.06000000
2018-08-08 00-00-00,6285.00000000
2018-08-09 00-00-00,6529.79000000
2018-08-10 00-00-00,6144.01000000
2018-08-11 00-00-00,6232.35000000
2018-08-12 00-00-00,6308.33000000
2018-08-13 00-00-00,6246.35000000
2018-08-14 00-00-00,6188.08000000
2018-08-15 00-00-00,6267.16000000
2018-08-16 00-00-00,6311.75000000
2018-08-17 00-00-00,6584.49000000
2018-08-18 00-00-00,6387.96000000
2018-08-19 00-00-00,6477.53000000
2018-08-20 00-00-00,6254.84000000
2018-08-21 00-00-00,6480.00000000
2018-08-22 00-00-00,6360.89000000
2018-08-23 00-00-00,6525.01000000
2018-08-24 00-00-00,6681.64000000
2018-08-25 00-00-00,6733.64000000
2018-08-26 00-00-00,6700.00000000
2018-08-27 00-00-00,6908.64000000
2018-08-28 00-00-00,7076.11000000
2018-08-29 00-00-00,7031.22000000
2018-08-30 00-00-00,6984.84000000
2018-08-31 00-00-00,7011.21000000
2018-09-01 00-00-00,7200.01000000
2018-09-02 00-00-00,7302.01000000
2018-09-03 00-00-00,7263.02000000
2018-09-04 00-00-00,7359.06000000
2018-09-05 00-00-00,6700.00000000
2018-09-06 00-00-00,6516.01000000
2018-09-07 00-00-00,6395.54000000
2018-09-08 00-00-00,6185.05000000
2018-09-09 00-00-00,6250.81000000
2018-09-10 00-00-00,6312.00000000
2018-09-11 00-00-00,6294.91000000
2018-09-12 00-00-00,6338.62000000
2018-09-13 00-00-00,6487.38000000
2018-09-14 00-00-00,6476.63000000
2018-09-15 00-00-00,6514.96000000
2018-09-16 00-00-00,6505.00000000
2018-09-17 00-00-00,6248.69000000
2018-09-18 00-00-00,6336.45000000
2018-09-19 00-00-00,6391.89000000
2018-09-20 00-00-00,6492.00000000
2018-09-21 00-00-00,6759.02000000
2018-09-22 00-00-00,6723.05000000
2018-09-23 00-00-00,6708.00000000
2018-09-24 00-00-00,6581.39000000
2018-09-25 00-00-00,6447.54000000
2018-09-26 00-00-00,6465.12000000
2018-09-27 00-00-00,6689.13000000
2018-09-28 00-00-00,6634.58000000
2018-09-29 00-00-00,6596.38000000
2018-09-30 00-00-00,6626.57000000
2018-10-01 00-00-00,6611.61000000
2018-10-02 00-00-00,6525.79000000
2018-10-03 00-00-00,6510.00000000
2018-10-04 00-00-00,6593.79000000
2018-10-05 00-00-00,6635.65000000
2018-10-06 00-00-00,6594.27000000
2018-10-07 00-00-00,6615.26000000
2018-10-08 00-00-00,6673.01000000
2018-10-09 00-00-00,6656.61000000
2018-10-10 00-00-00,6631.00000000
2018-10-11 00-00-00,6252.68000000
2018-10-12 00-00-00,6298.01000000
2018-10-13 00-00-00,6332.93000000
2018-10-14 00-00-00,6339.34000000
2018-10-15 00-00-00,6752.50000000
2018-10-16 00-00-00,6759.27000000
2018-10-17 00-00-00,6740.89000000
2018-10-18 00-00-00,6618.96000000
2018-10-19 00-00-00,6528.88000000
2018-10-20 00-00-00,6588.40000000
2018-10-21 00-00-00,6590.11000000
2018-10-22 00-00-00,6581.20000000
2018-10-23 00-00-00,6553.51000000
2018-10-24 00-00-00,6565.50000000
2018-10-25 00-00-00,6528.09000000
2018-10-26 00-00-00,6538.63000000
2018-10-27 00-00-00,6505.60000000
2018-10-28 00-00-00,6489.93000000
2018-10-29 00-00-00,6344.50000000
2018-10-30 00-00-00,6330.87000000
2018-10-31 00-00-00,6371.93000000
2018-11-01 00-00-00,6410.00000000
2018-11-02 00-00-00,6433.98000000
2018-11-03 00-00-00,6387.09000000
2018-11-04 00-00-00,6485.85000000
2018-11-05 00-00-00,6468.99000000
2018-11-06 00-00-00,6519.11000000
2018-11-07 00-00-00,6578.46000000
2018-11-08 00-00-00,6479.84000000
2018-11-09 00-00-00,6419.99000000
2018-11-10 00-00-00,6433.05000000
2018-11-11 00-00-00,6449.81000000
2018-11-12 00-00-00,6453.07000000
2018-11-13 00-00-00,6457.66000000
2018-11-14 00-00-00,5922.41000000
2018-11-15 00-00-00,5753.40000000
2018-11-16 00-00-00,5655.94000000
2018-11-17 00-00-00,5628.29000000
2018-11-18 00-00-00,5662.00000000
2018-11-19 00-00-00,4910.03000000
2018-11-20 00-00-00,4558.86000000
2018-11-21 00-00-00,4661.07000000
2018-11-22 00-00-00,4370.00000000
2018-11-23 00-00-00,4420.61000000
2018-11-24 00-00-00,3932.44000000
2018-11-25 00-00-00,4085.78000000
2018-11-26 00-00-00,3862.20000000
2018-11-27 00-00-00,3875.21000000
2018-11-28 00-00-00,4264.85000000
2018-11-29 00-00-00,4295.84000000
2018-11-30 00-00-00,4041.32000000
2018-12-01 00-00-00,4190.02000000
2018-12-02 00-00-00,4161.01000000
2018-12-03 00-00-00,3884.01000000
2018-12-04 00-00-00,3951.64000000
2018-12-05 00-00-00,3769.84000000
2018-12-06 00-00-00,3508.75000000
2018-12-07 00-00-00,3403.55000000
2018-12-08 00-00-00,3410.93000000
2018-12-09 00-00-00,3545.37000000
2018-12-10 00-00-00,3432.88000000
2018-12-11 00-00-00,3380.39000000
2018-12-12 00-00-00,3445.00000000
2018-12-13 00-00-00,3302.06000000
2018-12-14 00-00-00,3224.17000000
2018-12-15 00-00-00,3211.72000000
2018-12-16 00-00-00,3228.67000000
2018-12-17 00-00-00,3509.08000000
2018-12-18 00-00-00,3652.98000000
2018-12-19 00-00-00,3662.22000000
2018-12-20 00-00-00,4049.62000000
2018-12-21 00-00-00,3838.66000000
2018-12-22 00-00-00,3948.91000000
2018-12-23 00-00-00,3929.71000000
2018-12-24 00-00-00,4008.01000000
2018-12-25 00-00-00,3745.79000000
2018-12-26 00-00-00,3777.74000000
2018-12-27 00-00-00,3567.91000000
2018-12-28 00-00-00,3839.26000000
2018-12-29 00-00-00,3695.32000000
2018-12-30 00-00-00,3801.91000000
2018-12-31 00-00-00,3702.90000000
2019-01-01 00-00-00,3797.14000000
2019-01-02 00-00-00,3858.56000000
2019-01-03 00-00-00,3766.78000000
2019-01-04 00-00-00,3792.01000000
2019-01-05 00-00-00,3770.96000000
2019-01-06 00-00-00,3987.60000000
2019-01-07 00-00-00,3975.45000000
2019-01-08 00-00-00,3955.13000000
2019-01-09 00-00-00,3966.65000000
2019-01-10 00-00-00,3585.88000000
2019-01-11 00-00-00,3601.31000000
2019-01-12 00-00-00,3583.13000000
2019-01-13 00-00-00,3476.81000000
2019-01-14 00-00-00,3626.09000000
2019-01-15 00-00-00,3553.06000000
2019-01-16 00-00-00,3591.84000000
2019-01-17 00-00-00,3616.21000000
2019-01-18 00-00-00,3594.87000000
2019-01-19 00-00-00,3665.30000000
2019-01-20 00-00-00,3539.28000000
2019-01-21 00-00-00,3526.90000000
2019-01-22 00-00-00,3570.93000000
2019-01-23 00-00-00,3552.82000000
2019-01-24 00-00-00,3569.62000000
2019-01-25 00-00-00,3565.29000000
2019-01-26 00-00-00,3565.25000000
2019-01-27 00-00-00,3550.84000000
2019-01-28 00-00-00,3434.15000000
2019-01-29 00-00-00,3411.04000000
2019-01-30 00-00-00,3458.18000000
2019-01-31 00-00-00,3434.10000000
2019-02-01 00-00-00,3462.07000000
2019-02-02 00-00-00,3504.77000000
2019-02-03 00-00-00,3458.11000000
2019-02-04 00-00-00,3463.22000000
2019-02-05 00-00-00,3471.59000000
2019-02-06 00-00-00,3405.37000000
2019-02-07 00-00-00,3398.40000000
2019-02-08 00-00-00,3659.04000000
2019-02-09 00-00-00,3665.18000000
2019-02-10 00-00-00,3680.06000000
2019-02-11 00-00-00,3631.05000000
